diagnostic_type,category,matches,avg_rating_change,avg_abs_rating_change
favorite_status,even,170,0.0,8.9668
favorite_status,favorite,11599,2.0930997499784465,11.246709199068885
favorite_status,underdog,11599,-2.0930997499784465,11.246709199068885
tournament,Friendly,6804,-1.3053768661083558e-18,6.87449441504997
tournament,FIFA World Cup qualification,5236,-6.785167453782469e-19,12.905133307868603
tournament,African Cup of Nations qualification,1716,6.211037900000876e-18,11.088804195804196
tournament,UEFA Euro qualification,1536,5.782411586589357e-19,10.497348958333333
tournament,UEFA Nations League,1316,3.374538068769473e-18,11.156112462006078
tournament,CONCACAF Nations League,844,4.209376396683058e-18,12.915748815165877
tournament,African Cup of Nations,544,0.0,15.300091911764707
tournament,AFC Asian Cup qualification,404,8.7938457396052e-18,11.423752475247525
tournament,FIFA World Cup,384,-3.469446951953614e-18,25.398911458333334
tournament,COSAFA Cup,362,2.2081783915196483e-17,11.156303867403315
tournament,Gold Cup,350,0.0,17.334102857142856
tournament,UEFA Euro,306,1.161017542091667e-17,16.636986928104573
tournament,Copa América,288,1.2335811384723961e-17,15.71125
tournament,AFC Asian Cup,268,-2.6512788647764932e-17,19.105380597014925
tournament,AFF Championship,228,-7.791038769299344e-18,11.554754385964912
tournament,Island Games,224,-4.7580986769649563e-17,14.170723214285715
tournament,CONIFA World Football Cup,202,6.5953843047039e-18,14.666762376237624
tournament,Gulf Cup,152,1.1686558153949016e-17,10.839447368421053
tournament,CFU Caribbean Cup qualification,146,7.300096600275002e-17,14.681780821917808
tournament,CONCACAF Nations League qualification,136,2.6122894697062506e-17,16.019294117647057
tournament,Arab Cup,126,-1.409807015397024e-17,11.314730158730159
tournament,FIFA Series,114,-3.1164155077197375e-17,13.590491228070176
tournament,EAFF Championship,108,0.0,12.385314814814816
tournament,SAFF Cup,100,8.881784197001253e-18,12.865219999999999
tournament,CONIFA European Football Cup,98,0.0,12.809877551020408
tournament,Pacific Games,92,5.792467954566034e-17,15.937826086956521
tournament,CECAFA Cup,92,-8.688701931849052e-17,10.91458695652174
tournament,Indian Ocean Island Games,72,-4.9343245538895844e-17,12.18613888888889
tournament,CONCACAF Series,70,5.075305255429287e-17,13.021085714285714
tournament,Gold Cup qualification,68,-2.6122894697062506e-17,13.375323529411766
tournament,AFC Challenge Cup,58,6.125368411725002e-17,13.119344827586207
tournament,Oceania Nations Cup,56,0.0,21.991714285714288
tournament,ASEAN Championship,52,6.832141690000964e-17,10.951846153846153
tournament,King's Cup,46,3.8616453030440226e-17,11.700826086956523
tournament,MSG Prime Minister's Cup,46,-1.9308226515220113e-17,13.451173913043478
tournament,WAFF Championship,44,0.0,11.39109090909091
tournament,Kirin Challenge Cup,42,8.458842092382145e-17,12.288857142857141
tournament,Baltic Cup,42,2.6433881538694202e-17,10.179666666666666
tournament,AFF Championship qualification,40,0.0,14.01695
tournament,Inter Games,38,9.349246523159212e-17,14.839526315789476
tournament,Intercontinental Cup,34,-1.0449157878825003e-16,15.393882352941178
tournament,Muratti Vase,32,0.0,14.2478125
tournament,Confederations Cup,32,1.1102230246251565e-16,9.65275
tournament,Pacific Mini Games,30,-1.1842378929335003e-16,14.903333333333334
tournament,CFU Caribbean Cup,28,0.0,12.39192857142857
tournament,Arab Cup qualification,26,0.0,10.262538461538462
tournament,Kirin Cup,24,-3.700743415417188e-17,11.714333333333334
tournament,Windward Islands Tournament,22,0.0,12.366454545454546
tournament,UNCAF Cup,20,0.0,14.4826
tournament,CAFA Nations Cup,20,-8.881784197001253e-17,10.4913
tournament,Tri Nation Tournament,14,0.0,9.873857142857144
tournament,Mahinda Rajapaksa Cup,14,6.344131569286608e-17,8.232285714285714
tournament,Mapinduzi Cup,14,0.0,12.802714285714286
tournament,"Morocco, Capital of African Football",12,0.0,9.313333333333333
tournament,CONIFA World Football Cup qualification,10,0.0,19.5584
tournament,Mauritius Four Nations Cup,10,0.0,17.9802
tournament,EAFF Championship qualification,10,0.0,15.4428
tournament,Superclásico de las Américas,8,0.0,16.73675
tournament,Unity Cup,8,0.0,13.13525
tournament,Navruz Cup,8,0.0,10.19925
tournament,ABCS Tournament,8,0.0,13.4305
tournament,Canadian Shield,8,0.0,11.9945
tournament,Merdeka Tournament,8,0.0,10.52025
tournament,Al Ain International Cup,8,1.249000902703301e-16,5.62675
tournament,CONIFA Africa Football Cup,8,0.0,11.681000000000001
tournament,Jordan International Tournament,8,0.0,8.61
tournament,CONIFA Asia Cup,8,-2.220446049250313e-16,16.5425
tournament,Copa América qualification,8,0.0,15.30325
tournament,CONIFA South America Football Cup,6,0.0,15.263666666666666
tournament,Tri-Nations Series,6,0.0,16.506
tournament,Three Nations Cup,6,0.0,11.274333333333333
tournament,World Unity Cup,6,0.0,22.19066666666667
tournament,Soccer Ashes,6,0.0,13.373666666666667
tournament,Hungary Heritage Cup,6,0.0,10.055333333333335
tournament,Outrigger Challenge Cup,6,0.0,19.518333333333334
tournament,Oceania Nations Cup qualification,6,0.0,15.206999999999999
tournament,Niamh Challenge Cup,6,0.0,14.436333333333332
tournament,Atlantic Heritage Cup,4,0.0,14.067000000000002
tournament,Marianas Cup,4,0.0,7.709
tournament,ASEAN Championship qualification,4,1.1102230246251565e-16,10.851
tournament,Mukuru 4 Nations,4,0.0,19.492
tournament,South Asian Super Cup,2,0.0,25.204
tournament,ConIFA Challenger Cup,2,0.0,21.814
tournament,CONMEBOL–UEFA Cup of Champions,2,0.0,17.398
tournament,Benedikt Fontana Cup,2,0.0,24.453
