id,team_name,fifa_code,group_letter,adjusted_elo_rating,matches_since_2014,matches_last_4_years,cross_confederation_matches,recent_points,recent_points_above_expected,recent_goal_difference,recent_form_score,rating_with_recent_form
1,Mexico,MEX,A,1725.463,204,68,68,4.2655,0.0395,3.5257,3.499,1728.962
2,South Africa,RSA,A,1589.12,150,55,7,3.4356,-0.5207,2.2185,-2.299,1586.821
3,South Korea,KOR,A,1688.292,166,53,41,3.8139,-0.4915,-0.2415,-4.272,1684.02
4,Czechia,CZE,A,1567.933,131,43,7,4.2036,-0.0508,5.0755,4.149,1572.082
5,Canada,CAN,B,1675.067,123,50,22,4.1897,0.0407,4.0923,4.019,1679.086
6,Bosnia and Herzegovina,BIH,B,1511.28,118,37,12,3.7344,1.0189,2.7646,10.894,1522.174
7,Qatar,QAT,B,1540.2,183,57,29,2.1902,-1.5678,-5.5603,-17.938,1522.262
8,Switzerland,SUI,B,1673.325,142,48,12,4.0107,0.3466,5.8444,8.119,1681.444
9,Brazil,BRA,C,1699.787,150,44,48,3.891,0.3753,5.1753,7.754,1707.541
10,Morocco,MAR,C,1815.547,153,61,26,5.7038,0.7561,8.9862,14.325,1829.872
11,Haiti,HAI,C,1603.886,96,36,8,3.591,-0.0196,2.4752,2.066,1605.952
12,Scotland,SCO,C,1578.794,119,43,5,3.1048,-0.0424,1.1251,0.663,1579.457
13,USA,USA,D,1642.248,185,62,56,3.4671,-0.122,0.1883,-0.837,1641.411
14,Paraguay,PAR,D,1610.586,119,39,24,3.3667,1.0601,-0.3797,8.404,1618.99
15,Australia,AUS,D,1730.596,128,45,31,4.4614,0.2051,5.564,6.7,1737.296
16,Turkey,TUR,D,1695.225,137,45,9,5.2455,1.456,6.2683,17.653,1712.878
17,Germany,GER,E,1710.369,154,48,21,5.5007,0.9856,9.8568,17.003,1727.372
18,Curacao,CUR,E,1567.177,92,37,4,3.2283,-0.2722,0.4427,-1.848,1565.329
19,Cote d'Ivoire,CIV,E,1689.481,142,49,18,5.0626,1.0663,9.1508,17.032,1706.513
20,Ecuador,ECU,E,1690.546,130,46,34,4.1369,1.0752,2.756,11.351,1701.897
21,Netherlands,NED,F,1716.174,143,49,18,5.1285,0.3485,10.7478,12.548,1728.722
22,Japan,JPN,F,1761.84,161,51,48,5.4616,1.0094,9.0544,16.476,1778.316
23,Sweden,SWE,F,1579.472,147,43,10,3.7784,0.4141,1.3794,4.658,1584.13
24,Tunisia,TUN,F,1640.563,155,54,26,4.1553,0.3271,3.8415,6.156,1646.719
25,Belgium,BEL,G,1658.306,148,46,21,4.7256,0.536,11.1301,14.439,1672.745
26,Egypt,EGY,G,1692.875,141,51,17,4.2895,0.8936,4.7381,11.637,1704.512
27,IR Iran,IRN,G,1714.801,135,45,18,4.0829,-0.2198,7.7074,5.123,1719.924
28,New Zealand,NZL,G,1618.542,79,36,26,2.5782,-1.2569,1.4494,-9.065,1609.477
29,Spain,ESP,H,1840.222,148,50,13,5.4301,0.0822,12.5323,11.957,1852.179
30,Cabo Verde,CPV,H,1592.31,100,42,3,3.7057,-0.1322,1.6211,0.368,1592.678
31,Saudi Arabia,KSA,H,1591.222,170,67,26,2.6121,-0.7004,-3.8758,-9.267,1581.955
32,Uruguay,URU,H,1659.361,138,46,41,3.6077,0.3718,-0.7096,2.429,1661.79
33,France,FRA,I,1773.789,159,51,20,5.7388,1.049,10.3124,17.935,1791.724
34,Senegal,SEN,I,1763.114,151,54,16,5.4923,0.6845,8.7101,13.486,1776.6
35,Iraq,IRQ,I,1654.453,160,50,8,4.1672,0.1833,1.3717,2.747,1657.2
36,Norway,NOR,I,1695.138,121,40,4,4.7474,0.5203,10.9573,14.154,1709.292
37,Argentina,ARG,J,1792.264,155,49,34,5.7449,0.3425,14.1189,15.532,1807.796
38,Algeria,ALG,J,1733.136,153,55,17,5.0411,0.5018,9.3771,12.579,1745.715
39,Austria,AUT,J,1647.752,127,44,6,5.2011,0.6537,10.1712,14.547,1662.299
40,Jordan,JOR,J,1671.598,166,57,13,3.7624,0.3454,2.482,5.083,1676.681
41,Portugal,POR,K,1725.45,155,50,24,4.8116,0.3584,8.5753,10.674,1736.124
42,DR Congo,COD,K,1666.061,130,47,3,5.0774,1.1047,6.2636,14.751,1680.812
43,Uzbekistan,UZB,K,1697.103,133,47,11,4.4753,0.006,4.8969,4.457,1701.56
44,Colombia,COL,K,1704.708,143,44,39,3.5731,-0.0642,4.2711,3.314,1708.022
45,England,ENG,L,1753.139,153,50,17,4.7375,-0.2256,10.3719,7.474,1760.613
46,Croatia,CRO,L,1691.188,147,49,22,4.8068,0.3321,6.5073,8.596,1699.784
47,Ghana,GHA,L,1559.834,128,44,21,2.4753,-0.4209,-1.3724,-4.708,1555.126
48,Panama,PAN,L,1685.307,164,60,28,4.3894,0.2435,3.7305,5.366,1690.673
