id,team_name,fifa_code,group_letter,weighted_elo_rating,matches_since_2014,matches_last_4_years,cross_confederation_matches,recent_points,recent_points_above_expected,recent_goal_difference,recent_form_score
1,Mexico,MEX,A,1817.729,204,68,68,0.0,0.0,0.0,0.0
2,South Africa,RSA,A,1627.61,150,55,7,0.0,0.0,0.0,0.0
3,South Korea,KOR,A,1779.973,166,53,41,0.0,0.0,0.0,0.0
4,Czechia,CZE,A,1614.005,131,43,7,0.0,0.0,0.0,0.0
5,Canada,CAN,B,1757.54,123,50,22,0.0,0.0,0.0,0.0
6,Bosnia and Herzegovina,BIH,B,1517.172,118,37,12,0.0,0.0,0.0,0.0
7,Qatar,QAT,B,1581.046,183,57,29,0.0,0.0,0.0,0.0
8,Switzerland,SUI,B,1758.962,142,48,12,0.0,0.0,0.0,0.0
9,Brazil,BRA,C,1831.247,150,44,48,0.0,0.0,0.0,0.0
10,Morocco,MAR,C,1895.281,153,61,26,0.0,0.0,0.0,0.0
11,Haiti,HAI,C,1639.913,96,36,8,0.0,0.0,0.0,0.0
12,Scotland,SCO,C,1643.681,119,43,5,0.0,0.0,0.0,0.0
13,USA,USA,D,1731.505,185,62,56,0.0,0.0,0.0,0.0
14,Paraguay,PAR,D,1690.499,119,39,24,0.0,0.0,0.0,0.0
15,Australia,AUS,D,1816.56,128,45,31,0.0,0.0,0.0,0.0
16,Turkey,TUR,D,1763.809,137,45,9,0.0,0.0,0.0,0.0
17,Germany,GER,E,1818.717,154,48,21,0.0,0.0,0.0,0.0
18,Curacao,CUR,E,1587.442,92,37,4,0.0,0.0,0.0,0.0
19,Cote d'Ivoire,CIV,E,1739.913,142,49,18,0.0,0.0,0.0,0.0
20,Ecuador,ECU,E,1798.674,130,46,34,0.0,0.0,0.0,0.0
21,Netherlands,NED,F,1830.213,143,49,18,0.0,0.0,0.0,0.0
22,Japan,JPN,F,1872.193,161,51,48,0.0,0.0,0.0,0.0
23,Sweden,SWE,F,1628.487,147,43,10,0.0,0.0,0.0,0.0
24,Tunisia,TUN,F,1690.52,155,54,26,0.0,0.0,0.0,0.0
25,Belgium,BEL,G,1756.122,148,46,21,0.0,0.0,0.0,0.0
26,Egypt,EGY,G,1747.087,141,51,17,0.0,0.0,0.0,0.0
27,IR Iran,IRN,G,1807.783,135,45,18,0.0,0.0,0.0,0.0
28,New Zealand,NZL,G,1678.486,79,36,26,0.0,0.0,0.0,0.0
29,Spain,ESP,H,1992.85,148,50,13,0.0,0.0,0.0,0.0
30,Cabo Verde,CPV,H,1623.452,100,42,3,0.0,0.0,0.0,0.0
31,Saudi Arabia,KSA,H,1645.054,170,67,26,0.0,0.0,0.0,0.0
32,Uruguay,URU,H,1768.19,138,46,41,0.0,0.0,0.0,0.0
33,France,FRA,I,1923.75,159,51,20,0.0,0.0,0.0,0.0
34,Senegal,SEN,I,1833.733,151,54,16,0.0,0.0,0.0,0.0
35,Iraq,IRQ,I,1712.231,160,50,8,0.0,0.0,0.0,0.0
36,Norway,NOR,I,1759.703,121,40,4,0.0,0.0,0.0,0.0
37,Argentina,ARG,J,1947.258,155,49,34,0.0,0.0,0.0,0.0
38,Algeria,ALG,J,1794.291,153,55,17,0.0,0.0,0.0,0.0
39,Austria,AUT,J,1712.055,127,44,6,0.0,0.0,0.0,0.0
40,Jordan,JOR,J,1733.365,166,57,13,0.0,0.0,0.0,0.0
41,Portugal,POR,K,1844.73,155,50,24,0.0,0.0,0.0,0.0
42,DR Congo,COD,K,1703.601,130,47,3,0.0,0.0,0.0,0.0
43,Uzbekistan,UZB,K,1772.816,133,47,11,0.0,0.0,0.0,0.0
44,Colombia,COL,K,1827.735,143,44,39,0.0,0.0,0.0,0.0
45,England,ENG,L,1877.41,153,50,17,0.0,0.0,0.0,0.0
46,Croatia,CRO,L,1798.457,147,49,22,0.0,0.0,0.0,0.0
47,Ghana,GHA,L,1587.28,128,44,21,0.0,0.0,0.0,0.0
48,Panama,PAN,L,1750.892,164,60,28,0.0,0.0,0.0,0.0
