id,team_name,fifa_code,group_letter,world_cup_elo_rating,model_rating_before_fifa_blend,fifa_elo_rating,fifa_world_ranking,anchored_final_strength_no_confed,confederation_pool_correction,anchored_final_strength,recent_form_adjustment_capped,confederation,confederation_strength_adjustment,recent_form_score,matches_since_2014,matches_last_4_years,cross_confederation_matches,reliability_score
1,Mexico,MEX,A,1710.808,1720.734,1681.03,15,1692.941,-15.0,1677.941,0.0,CONCACAF,-8.228,3.499,204,68,68,1.0
2,South Africa,RSA,A,1546.806,1585.831,1429.73,60,1476.56,-15.0,1461.56,0.0,CAF,-0.99,-2.299,150,55,7,0.838
3,South Korea,KOR,A,1650.374,1670.945,1588.66,25,1613.346,-20.0,1593.346,0.0,AFC,-13.075,-4.272,166,53,41,1.0
4,Czechia,CZE,A,1560.334,1579.985,1501.38,41,1524.962,20.0,1544.962,0.0,UEFA,7.903,4.149,131,43,7,0.838
5,Canada,CAN,B,1642.264,1670.858,1556.48,30,1590.793,-15.0,1575.793,0.0,CONCACAF,-8.228,4.019,123,50,22,1.0
6,Bosnia and Herzegovina,BIH,B,1494.018,1530.077,1385.84,65,1429.111,20.0,1449.111,0.0,UEFA,7.903,10.894,118,37,12,0.9
7,Qatar,QAT,B,1495.63,1509.187,1454.96,55,1471.228,-20.0,1451.228,0.0,AFC,-13.075,-17.938,183,57,29,1.0
8,Switzerland,SUI,B,1679.36,1689.347,1649.4,19,1661.384,20.0,1681.384,0.0,UEFA,7.903,8.119,142,48,12,0.9
9,Brazil,BRA,C,1732.988,1723.598,1761.16,6,1749.891,25.0,1774.891,0.0,CONMEBOL,16.057,7.754,150,44,48,1.0
10,Morocco,MAR,C,1810.629,1828.882,1755.87,8,1777.774,-15.0,1762.774,0.0,CAF,-0.99,14.325,153,61,26,1.0
11,Haiti,HAI,C,1521.22,1597.724,1291.71,83,1383.514,-15.0,1368.514,0.0,CONCACAF,-8.228,2.066,96,36,8,0.85
12,Scotland,SCO,C,1565.108,1587.36,1498.35,43,1525.053,20.0,1545.053,0.0,UEFA,7.903,0.663,119,43,5,0.812
13,USA,USA,D,1643.17,1633.183,1673.13,16,1661.146,-15.0,1646.146,0.0,CONCACAF,-8.228,-0.837,185,62,56,1.0
14,Paraguay,PAR,D,1602.16,1635.047,1503.5,40,1542.964,25.0,1567.964,0.0,CONMEBOL,16.057,8.404,119,39,24,1.0
15,Australia,AUS,D,1688.333,1724.221,1580.67,27,1623.735,-20.0,1603.735,0.0,AFC,-13.075,6.7,128,45,31,1.0
16,Turkey,TUR,D,1690.346,1720.781,1599.04,22,1635.562,20.0,1655.562,0.0,UEFA,7.903,17.653,137,45,9,0.862
17,Germany,GER,E,1734.049,1735.275,1730.37,10,1731.841,20.0,1751.841,0.0,UEFA,7.903,17.003,154,48,21,1.0
18,Curacao,CUR,E,1491.488,1557.101,1294.65,82,1373.385,-15.0,1358.385,0.0,CONCACAF,-8.228,-1.848,92,37,4,0.8
19,Cote d'Ivoire,CIV,E,1662.387,1705.523,1532.98,34,1584.743,-15.0,1569.743,0.0,CAF,-0.99,17.032,142,49,18,0.975
20,Ecuador,ECU,E,1687.16,1717.954,1594.78,23,1631.732,25.0,1656.732,0.0,CONMEBOL,16.057,11.351,130,46,34,1.0
21,Netherlands,NED,F,1741.936,1736.625,1757.87,7,1751.496,20.0,1771.496,0.0,UEFA,7.903,12.548,143,49,18,0.975
22,Japan,JPN,F,1739.038,1765.241,1660.43,18,1691.873,-20.0,1671.873,0.0,AFC,-13.075,16.476,161,51,48,1.0
23,Sweden,SWE,F,1572.717,1592.033,1514.77,38,1537.949,20.0,1557.949,0.0,UEFA,7.903,4.658,147,43,10,0.875
24,Tunisia,TUN,F,1605.059,1645.729,1483.05,44,1531.854,-15.0,1516.854,0.0,CAF,-0.99,6.156,155,54,26,1.0
25,Belgium,BEL,G,1694.164,1680.648,1734.71,9,1718.491,20.0,1738.491,0.0,UEFA,7.903,14.439,148,46,21,1.0
26,Egypt,EGY,G,1668.452,1703.522,1563.24,29,1605.325,-15.0,1590.325,0.0,CAF,-0.99,11.637,141,51,17,0.962
27,IR Iran,IRN,G,1683.962,1706.849,1615.3,21,1642.765,-20.0,1622.765,0.0,AFC,-13.075,5.123,135,45,18,0.975
28,New Zealand,NZL,G,1508.75,1584.477,1281.57,85,1372.442,-35.0,1337.442,0.0,OFC,-25.0,-9.065,79,36,26,0.995
29,Spain,ESP,H,1864.162,1860.082,1876.4,2,1871.505,20.0,1891.505,0.0,UEFA,7.903,11.957,148,50,13,0.912
30,Cabo Verde,CPV,H,1535.298,1591.688,1366.13,69,1433.797,-15.0,1418.797,0.0,CAF,-0.99,0.368,100,42,3,0.788
31,Saudi Arabia,KSA,H,1532.018,1568.88,1421.43,61,1465.665,-20.0,1445.665,0.0,AFC,-13.075,-9.267,170,67,26,1.0
32,Uruguay,URU,H,1676.653,1677.847,1673.07,17,1674.503,25.0,1699.503,0.0,CONMEBOL,16.057,2.429,138,46,41,1.0
33,France,FRA,I,1819.05,1799.627,1877.32,1,1854.012,20.0,1874.012,0.0,UEFA,7.903,17.935,159,51,20,1.0
34,Senegal,SEN,I,1753.955,1775.61,1688.99,14,1714.976,-15.0,1699.976,0.0,CAF,-0.99,13.486,151,54,16,0.95
35,Iraq,IRQ,I,1594.879,1644.125,1447.14,57,1506.236,-20.0,1486.236,0.0,AFC,-13.075,2.747,160,50,8,0.85
36,Norway,NOR,I,1675.631,1717.195,1550.94,31,1600.816,20.0,1620.816,0.0,UEFA,7.903,14.154,121,40,4,0.8
37,Argentina,ARG,J,1836.592,1823.853,1874.81,3,1859.523,25.0,1884.523,0.0,CONMEBOL,16.057,15.532,155,49,34,1.0
38,Algeria,ALG,J,1699.609,1744.725,1564.26,28,1618.4,-15.0,1603.4,0.0,CAF,-0.99,12.579,153,55,17,0.962
39,Austria,AUT,J,1651.014,1670.202,1593.45,24,1616.476,20.0,1636.476,0.0,UEFA,7.903,14.547,127,44,6,0.825
40,Jordan,JOR,J,1595.567,1663.606,1391.45,63,1473.097,-20.0,1453.097,0.0,AFC,-13.075,5.083,166,57,13,0.912
41,Portugal,POR,K,1748.978,1744.027,1763.83,5,1757.889,20.0,1777.889,0.0,UEFA,7.903,10.674,155,50,24,1.0
42,DR Congo,COD,K,1629.454,1679.822,1478.35,46,1538.792,-15.0,1523.792,0.0,CAF,-0.99,14.751,130,47,3,0.788
43,Uzbekistan,UZB,K,1632.699,1688.485,1465.34,50,1532.283,-20.0,1512.283,0.0,AFC,-13.075,4.457,133,47,11,0.888
44,Colombia,COL,K,1716.332,1724.079,1693.09,13,1702.387,25.0,1727.387,0.0,CONMEBOL,16.057,3.314,143,44,39,1.0
45,England,ENG,L,1782.88,1768.516,1825.97,4,1808.734,20.0,1828.734,0.0,UEFA,7.903,7.474,153,50,17,0.962
46,Croatia,CRO,L,1710.033,1707.687,1717.07,11,1714.255,20.0,1734.255,0.0,UEFA,7.903,8.596,147,49,22,1.0
47,Ghana,GHA,L,1502.179,1554.136,1346.31,74,1408.658,-15.0,1393.658,0.0,CAF,-0.99,-4.708,128,44,21,1.0
48,Panama,PAN,L,1646.994,1682.445,1540.64,33,1583.182,-15.0,1568.182,0.0,CONCACAF,-8.228,5.366,164,60,28,1.0
